web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,category-link-1,category-link-1-href,category-link-2,category-link-2-href,category-link-3,category-link-3-href,category-link-4,category-link-4-href,category-link-5,category-link-5-href,category-link-6,category-link-6-href,pagination-selector,name,data,data2,discount,data3,data4,description,image-src,description2
"1755862518-72","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/72390721fad24826b5b007d52d7460a2_9366/samba-og-shoes.jpg","Men originals"
"1755862518-73","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Adifom Iiinfinity Slides","","","","","Price","","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7c63768219444f95bafcfc4369795b54_9366/adifom-iiinfinity-slides.jpg","originals"
"1755862518-74","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","7 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/70e36958be4f480cb5ea5bfa675e7810_9366/samba-og-shoes.jpg","originals"
"1755862518-75","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4240c69e08484d019223075dad7f710d_9366/samba-og-shoes.jpg","Men originals"
"1755862518-76","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/80a951792b4149f5b62dafab00f9ca9e_9366/samba-og-shoes.jpg","originals"
"1755862518-77","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fa7627db13da42ce8770fb26f5fabab9_9366/samba-og-shoes.jpg","Men originals"
"1755862518-78","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Campus 00s Shoes","","","","","Price","11 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2345cc874f884fc0a6a8af50010537fb_9366/campus-00s-shoes.jpg","originals"
"1755862518-79","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Handball Spezial Shoes","","","","","Price","14 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0f8317e5d94441ae805eda67b3f6ac6b_9366/handball-spezial-shoes.jpg","Men originals"
"1755862518-80","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Gazelle Indoor Shoes","","","","","Price","7 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ed07eaa2dcb94162b59a47fe8099b160_9366/gazelle-indoor-shoes.jpg","Men originals"
"1755862518-81","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Island Club Adilette 22 Slides","","","","","Price","4 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/317facedf01a424f885faf4200f52241_9366/island-club-adilette-22-slides.jpg","originals"
"1755862518-82","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Samba OG Shoes","","","","","Price","29 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e5d63aeb1597417a8e9ac0dc4a50ad51_9366/samba-og-shoes.jpg","Men originals"
"1755862518-83","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Gazelle Shoes","","","","","Price","6 colours","","originals"
